Long,Lat,Chlor,Pic,Poc,Sst,MM,IILO,IILA,Missing_02_2019,Chlor_log,Position,TrainTest
20.041666,30.958334,0.20632255,-0.1765285,-0.19228917,-0.9160193,0,276,120,0.5357142857142857,-1.5783145,20.04166630.958334,Train
20.041666,31.208334,0.25396875,-0.18750207,-0.02111773,-0.9882009,0,273,120,0.5,-1.3705441,20.04166631.208334,Train
20.041666,32.208332,0.38365266,-0.033817463,0.46261737,-1.0494459,0,261,120,0.35714285714285715,-0.95801765,20.04166632.208332,Train
20.041666,32.458332,0.3759061,-0.1765285,0.3695914,-0.9466419,0,258,120,0.5,-0.97841585,20.04166632.458332,Train
20.041666,32.958332,0.34373116,-0.18750207,0.28400564,-0.9258623,0,252,120,0.42857142857142855,-1.0678954,20.04166632.958332,Train
20.041666,33.208332,0.37011018,-0.19115539,0.33982125,-0.92367494,0,249,120,0.4642857142857143,-0.99395454,20.04166633.208332,Train
20.041666,33.458332,0.3414879,-0.18750207,0.2728407,-0.91492563,0,246,120,0.42857142857142855,-1.074443,20.04166633.458332,Train
20.041666,33.708332,0.34368923,-0.13992718,0.2914459,-0.95539117,0,243,120,0.4642857142857143,-1.0680174,20.04166633.708332,Train
20.041666,34.208332,0.36126408,-0.13627386,0.34354594,-0.95539117,0,237,120,0.4642857142857143,-1.018146,20.04166634.208332,Train
20.041666,34.458332,0.37316772,-0.18750207,0.41052645,-0.9728897,0,234,120,0.4642857142857143,-0.9857273,20.04166634.458332,Train
20.291666,34.708332,0.23881027,-0.03747078,-0.032282665,-0.43152747,0,423,120,0.4642857142857143,-1.4320859,20.29166634.708332,Train
20.791666,36.958332,0.2871124,-0.18383512,0.08678877,-1.0264791,0,264,123,0.4642857142857143,-1.2478814,20.79166636.958332,Train
20.791666,37.208332,0.2929283,-0.19115539,0.10539397,-1.0155425,0,261,123,0.4642857142857143,-1.2278273,20.79166637.208332,Train
20.791666,37.458332,0.3087425,-0.19482233,0.16493422,-1.0100743,0,258,123,0.42857142857142855,-1.1752477,20.79166637.458332,Train
20.791666,37.708332,0.2941031,-0.19115539,0.1314485,-0.9335179,0,255,123,0.39285714285714285,-1.223825,20.79166637.708332,Train
20.791666,37.958332,0.27393046,-0.19482233,0.034697857,-0.9313305,0,252,123,0.5,-1.294881,20.79166637.958332,Train
20.791666,38.208332,0.30600283,-0.1801818,0.14260437,-0.9061763,0,249,123,0.5357142857142857,-1.184161,20.79166638.208332,Train
20.791666,38.458332,0.2886047,-0.19482233,0.07563292,-0.91492563,0,246,123,0.5357142857142857,-1.2426974,20.79166638.458332,Train
20.541666,37.208332,0.57761925,-0.09967256,2.2003407,-0.8668047,0,69,123,0.39285714285714285,-0.54884034,20.54166637.208332,Train
20.541666,37.458332,0.5158425,-0.13627386,0.70076025,-0.9335179,0,66,123,0.2857142857142857,-0.6619538,20.54166637.458332,Train
20.541666,37.708332,0.5660797,-0.08869898,0.7677407,-0.93023705,0,63,123,0.35714285714285715,-0.56902045,20.54166637.708332,Train
20.541666,37.958332,0.6489664,-0.19115539,0.920307,-0.90398896,0,60,123,0.35714285714285715,-0.43237436,20.54166637.958332,Train
20.541666,38.458332,0.59909725,-0.1801818,0.8979771,-0.8930525,0,54,123,0.4642857142857143,-0.51233137,20.54166638.458332,Train
20.541666,38.708332,0.6453809,-0.18383512,0.9426278,-0.9028955,0,51,123,0.42857142857142855,-0.43791455,20.54166638.708332,Train
20.541666,38.958332,0.62664294,-0.18750207,0.89426154,-0.92039406,0,48,123,0.4642857142857143,-0.46737838,20.54166638.958332,Train
20.291666,32.708332,0.26652554,0.36139488,0.1165589,-0.32434872,0,447,120,0.5,-1.3222852,20.29166632.708332,Train
20.291666,33.208332,0.21574989,-0.14724745,-0.1327489,-0.245605,0,441,120,0.5357142857142857,-1.5336355,20.29166633.208332,Train
20.291666,34.458332,0.2239606,-0.13260692,-0.095538504,-0.4654311,0,426,120,0.4642857142857143,-1.4962852,20.29166634.458332,Train
20.541666,38.208332,0.5291658,-0.1765285,0.65983427,-0.86461735,0,57,123,0.42857142857142855,-0.63645345,20.54166638.208332,Train
20.041666,34.708332,0.3905718,-0.18750207,0.5816888,-0.9400798,0,231,120,0.42857142857142855,-0.94014347,20.04166634.708332,Train
19.791666,37.458332,0.31342962,-0.1801818,0.18353942,-0.6896315,0,6,120,0.39285714285714285,-1.1601804,19.79166637.458332,Train
19.791666,37.708332,0.29588032,-0.19482233,0.11284331,-0.6568218,0,3,120,0.39285714285714285,-1.2178003,19.79166637.708332,Train
19.791666,37.958332,0.29738688,-0.18383512,0.1165589,-0.6382293,0,0,120,0.39285714285714285,-1.2127213,19.79166637.958332,Train
19.791666,37.208332,0.36623803,-0.022830255,0.39563686,-0.74103373,0,9,120,0.39285714285714285,-1.0044718,19.79166637.208332,Train
19.791666,36.958332,0.35237315,-0.08504567,0.33982125,-0.7202539,0,12,120,0.42857142857142855,-1.0430646,19.79166636.958332,Train
19.791666,36.708332,0.33015177,-0.1545677,0.47005764,-0.7279095,0,15,120,0.39285714285714285,-1.1082029,19.79166636.708332,Train
19.791666,36.458332,0.35321438,0.05401205,0.6561096,-0.7399398,0,18,120,0.5357142857142857,-1.04068,19.79166636.458332,Train
20.041666,35.708332,0.41889587,-0.14724745,0.7193654,-1.0002313,0,219,120,0.5,-0.8701329,20.04166635.708332,Train
20.041666,35.958332,0.45209792,0.06865257,1.0356537,-1.0264791,0,216,120,0.5357142857142857,-0.7938565,20.04166635.958332,Train
20.041666,36.208332,0.40368262,-0.033817463,0.85705113,-0.9849201,0,213,120,0.4642857142857143,-0.9071263,20.04166636.208332,Train
19.791666,30.958334,0.8578062,1.2030206,2.2226706,-0.92148775,0,84,120,0.2857142857142857,-0.15337707,19.79166630.958334,Train
19.791666,31.208334,0.7234898,0.094266675,2.3863928,-0.8886778,0,81,120,0.35714285714285715,-0.32366878,19.79166631.208334,Train
19.791666,31.458334,0.67621005,-0.1545677,1.5491589,-0.8482125,0,78,120,0.35714285714285715,-0.39125153,19.79166631.458334,Train
19.791666,31.708334,0.5506224,-0.04479104,0.97612256,-0.8547742,0,75,120,0.35714285714285715,-0.596706,19.79166631.708334,Train
19.791666,31.958334,0.5186066,-0.14359413,0.75286025,-0.8613363,0,72,120,0.35714285714285715,-0.65660965,19.79166631.958334,Train
19.791666,32.208332,0.45920408,-0.19115539,0.57424855,-0.91492563,0,69,120,0.2857142857142857,-0.7782606,19.79166632.208332,Train
19.791666,32.458332,0.5451856,-0.08504567,0.775181,-0.9389863,0,66,120,0.32142857142857145,-0.60662895,19.79166632.458332,Train
19.791666,32.708332,0.5219877,0.15646847,0.7603005,-0.9477356,0,63,120,0.35714285714285715,-0.6501113,19.79166632.708332,Train
19.791666,32.958332,0.5142299,-0.18750207,0.66354984,-0.9247686,0,60,120,0.5357142857142857,-0.66508484,19.79166632.958332,Train
19.791666,33.208332,0.55219597,-0.19115539,0.7230901,-0.9083637,0,57,120,0.42857142857142855,-0.5938523,19.79166633.208332,Train
19.791666,33.458332,0.5093772,-0.19115539,0.60773426,-0.93023705,0,54,120,0.42857142857142855,-0.6745665,19.79166633.458332,Train
19.791666,33.708332,0.55801815,-0.1801818,0.67099917,-0.9750771,0,51,120,0.4642857142857143,-0.58336383,19.79166633.708332,Train
19.791666,33.958332,0.6700172,-0.19115539,0.8868122,-0.9532038,0,48,120,0.4642857142857143,-0.40045193,19.79166633.958332,Train
19.791666,34.208332,0.6076877,-0.18750207,0.7900706,-0.91383195,0,45,120,0.5357142857142857,-0.49809414,19.79166634.208332,Train
19.791666,34.458332,0.532109,-0.18750207,0.6486693,-0.8941462,0,42,120,0.4642857142857143,-0.6309069,19.79166634.458332,Train
19.791666,34.708332,0.6396814,-0.19115539,0.8496018,-0.90508264,0,39,120,0.42857142857142855,-0.44678506,19.79166634.708332,Train
19.791666,34.958332,0.6967822,-0.17286155,0.9091421,-0.87555397,0,36,120,0.5357142857142857,-0.36128244,19.79166634.958332,Train
19.791666,35.208332,0.5930618,-0.16554128,0.82355636,-0.8722729,0,33,120,0.4642857142857143,-0.52245665,19.79166635.208332,Train
19.791666,35.458332,0.52309006,-0.1765285,0.7230901,-0.8810222,0,30,120,0.4642857142857143,-0.6480016,19.79166635.458332,Train
19.791666,35.708332,0.5904588,-0.16920823,0.8719317,-0.86461735,0,27,120,0.5,-0.5268554,19.79166635.708332,Train
20.791666,36.458332,0.27821293,-0.16554128,0.07190825,-1.0067931,0,270,123,0.4642857142857143,-1.2793685,20.79166636.458332,Train
20.791666,36.208332,0.2764158,-0.1801818,0.04586279,-0.9619531,0,273,123,0.5,-1.2858491,20.79166636.208332,Train
20.791666,35.958332,0.22567289,-0.19115539,-0.12530863,-0.95539117,0,276,123,0.5357142857142857,-1.4886687,20.79166635.958332,Train
22.791666,37.458332,0.2913033,-0.19482233,0.14632903,-0.8886778,0,246,132,0.5357142857142857,-1.2333902,22.79166637.458332,Train
22.291666,32.958332,0.19475366,-0.19482233,-0.25554502,-0.9761708,0,432,129,0.5,-1.6360198,22.29166632.958332,Train
22.291666,33.208332,0.19869241,-0.1801818,-0.22949956,-1.0680381,0,429,129,0.5,-1.6159973,22.29166633.208332,Train
22.791666,35.958332,0.23163554,-0.19482233,-0.099263184,-0.55948603,0,264,132,0.39285714285714285,-1.4625901,22.79166635.958332,Train
22.041666,32.958332,0.41703033,-0.16920823,0.47005764,-0.9542975,0,240,129,0.5357142857142857,-0.87459636,22.04166632.958332,Train
22.041666,33.958332,0.37969607,-0.117980026,0.44773683,-0.9728897,0,228,129,0.5,-0.96838415,22.04166633.958332,Train
22.041666,34.708332,0.4246555,0.31382,0.84588623,-1.0581954,0,219,129,0.5,-0.856477,22.04166634.708332,Train
21.791666,33.458332,1.0855901,0.7822077,3.517594,-0.83071387,0,42,129,0.5357142857142857,0.082123734,21.79166633.458332,Train
23.041666,32.708332,0.20465535,-0.19482233,-0.15507878,-0.6404167,0,495,132,0.5,-1.5864279,23.04166632.708332,Train
23.041666,35.458332,0.16181341,-0.08869898,-0.33740604,-0.6349485,0,462,132,0.5357142857142857,-1.8213115,23.04166635.458332,Train
23.041666,36.958332,0.17945121,-0.16920823,-0.28159046,-0.8285265,0,444,132,0.5357142857142857,-1.7178519,23.04166636.958332,Train
23.041666,37.208332,0.18021338,-0.19482233,-0.31880084,-0.9466419,0,441,132,0.5,-1.7136137,23.04166637.208332,Train
23.041666,37.458332,0.18381014,-0.19482233,-0.31880084,-0.9608594,0,438,132,0.5357142857142857,-1.693852,23.04166637.458332,Train
23.041666,38.208332,0.19661795,-0.1765285,-0.22205022,-1.0691319,0,429,132,0.5,-1.6264927,23.04166638.208332,Train
22.791666,33.458332,0.17336872,-0.19482233,-0.3113606,-0.9160193,0,294,132,0.5,-1.7523346,22.79166633.458332,Train
22.791666,33.958332,0.19227745,-0.19115539,-0.21833463,-0.8154027,0,288,132,0.5,-1.648816,22.79166633.958332,Train
21.791666,34.208332,1.1844504,-0.05576462,6.3827944,-0.8099341,0,33,129,0.4642857142857143,0.16927885,21.79166634.208332,Train
21.791666,34.458332,0.85187095,0.07962615,3.6589863,-0.81758964,0,30,129,0.5357142857142857,-0.16032022,21.79166634.458332,Train
21.791666,36.208332,1.5460757,2.1178353,3.9343488,-0.76181316,0,9,129,0.5,0.43571994,21.79166636.208332,Train
21.041666,36.208332,0.25352144,-0.19115539,-0.006237208,-0.57917196,0,465,123,0.5357142857142857,-1.3723068,21.04166636.208332,Train
21.041666,36.708332,0.24186073,-0.16920823,-0.062052794,-0.5824528,0,459,123,0.5357142857142857,-1.4193932,21.04166636.708332,Train
21.041666,36.958332,0.23965026,-0.08504567,-0.08809825,-0.643698,0,456,123,0.5,-1.4285747,21.04166636.958332,Train
21.041666,38.208332,0.25951925,-0.1289536,0.027257595,-0.5168329,0,441,123,0.5357142857142857,-1.3489244,21.04166638.208332,Train
21.041666,38.458332,0.25644124,0.10158693,0.05330305,-0.4140289,0,438,123,0.5,-1.3608557,21.04166638.458332,Train
21.041666,38.958332,0.19293396,-0.16554128,-0.23321515,-0.81212145,0,432,123,0.5357142857142857,-1.6454073,21.04166638.958332,Train
20.791666,32.958332,0.20071994,-0.19482233,-0.16995929,-1.0242918,0,312,123,0.5357142857142857,-1.6058447,20.79166632.958332,Train
20.791666,32.708332,0.19447388,-0.19115539,-0.17739956,-0.9838264,0,315,123,0.5,-1.6374575,20.79166632.708332,Train
21.041666,35.208332,0.21466523,-0.07405846,-0.11786838,-0.3855939,0,477,123,0.5357142857142857,-1.5386755,21.04166635.208332,Train
21.791666,36.458332,0.36828342,-0.19115539,0.5668083,-0.57260984,0,6,129,0.4642857142857143,-0.99890244,21.79166636.458332,Train
21.791666,36.708332,0.2657928,-0.19482233,0.030973183,-0.54417443,0,3,129,0.5,-1.3250383,21.79166636.708332,Train
21.041666,33.208332,0.2085764,-0.16920823,-0.13647357,-0.4085607,0,501,123,0.5357142857142857,-1.5674499,21.04166633.208332,Train
18.041666,31.708334,0.22839166,-0.19482233,-0.11786838,-0.9160193,0,279,111,0.5,-1.4766933,18.04166631.708334,Train
18.041666,31.958334,0.25563985,-0.19482233,-0.017393058,-0.98601353,0,276,111,0.42857142857142855,-1.3639857,18.04166631.958334,Train
18.041666,32.208332,0.2734917,-0.19115539,0.04957838,-1.0035124,0,273,111,0.4642857142857143,-1.296484,18.04166632.208332,Train
18.041666,32.458332,0.30817387,-0.07040515,0.19470435,-0.9674213,0,270,111,0.42857142857142855,-1.1770911,18.04166632.458332,Train
18.041666,32.708332,0.4143184,0.98712057,0.64494467,-0.98929465,0,267,111,0.39285714285714285,-0.8811205,18.04166632.708332,Train
18.041666,33.458332,0.40091768,0.116213836,0.4886628,-1.0538206,0,258,111,0.4642857142857143,-0.9139992,18.04166633.458332,Train
18.041666,33.708332,0.36195186,-0.19115539,0.3881966,-1.0592889,0,255,111,0.35714285714285715,-1.016244,18.04166633.708332,Train
18.041666,33.958332,0.37800628,-0.16188797,0.39936152,-1.0844432,0,252,111,0.42857142857142855,-0.9728445,18.04166633.958332,Train
18.041666,34.208332,0.41235057,-0.11065977,0.6151836,-1.0702255,0,249,111,0.32142857142857145,-0.8858814,18.04166634.208332,Train
18.041666,34.708332,0.42411494,-0.13260692,0.6151836,-1.0122616,0,243,111,0.42857142857142855,-0.8577508,18.04166634.708332,Train
18.041666,34.958332,0.4234076,-0.1801818,0.65983427,-0.91273826,0,240,111,0.32142857142857145,-0.85941994,18.04166634.958332,Train
18.041666,35.208332,0.39513105,-0.19482233,0.57424855,-0.9018018,0,237,111,0.5357142857142857,-0.9285378,18.04166635.208332,Train
18.041666,35.458332,0.37086585,-0.1801818,0.4365719,-0.8875841,0,234,111,0.35714285714285715,-0.99191487,18.04166635.458332,Train
18.041666,35.708332,0.41623357,-0.15822102,0.65983427,-0.9193004,0,231,111,0.39285714285714285,-0.8765087,18.04166635.708332,Train
18.041666,35.958332,0.4892697,-0.07040515,1.1658901,-0.9882009,0,228,111,0.5357142857142857,-0.7148414,18.04166635.958332,Train
18.041666,36.208332,0.5029943,-0.19115539,1.1919446,-1.0242918,0,225,111,0.5,-0.68717647,18.04166636.208332,Train
18.041666,36.458332,0.49849743,0.22233719,0.8979771,-1.0625699,0,222,111,0.5357142857142857,-0.69615686,18.04166636.458332,Train
18.041666,36.708332,0.59698975,1.2469286,1.3184563,-1.0002313,0,219,111,0.5357142857142857,-0.5158553,18.04166636.708332,Train
17.791666,30.958334,0.5042479,-0.16554128,0.6858797,-0.9193004,0,96,111,0.35714285714285715,-0.68468726,17.79166630.958334,Train
17.791666,31.208334,0.43521935,-0.19115539,0.53703815,-0.9324242,0,93,111,0.2857142857142857,-0.8319051,17.79166631.208334,Train
18.041666,34.458332,0.43671316,-0.17286155,0.66354984,-1.0647572,0,246,111,0.42857142857142855,-0.8284787,18.04166634.458332,Train
18.291666,41.958332,0.2166744,-0.096019246,-0.12530863,-0.626199,0,348,111,0.5357142857142857,-1.5293595,18.29166641.958332,Train
18.541666,40.708332,0.7459829,-0.19115539,1.1472849,-0.90508264,0,39,114,0.4642857142857143,-0.29305264,18.54166640.708332,Train
18.541666,40.958332,1.1963019,-0.1545677,1.281246,-0.917113,0,36,114,0.42857142857142855,0.17923509,18.54166640.958332,Train
18.541666,41.208332,1.1071728,-0.18383512,1.3779966,-0.8722729,0,33,114,0.42857142857142855,0.101809785,18.54166641.208332,Train
18.541666,41.458332,1.2939492,-0.1801818,1.7166057,-0.8821159,0,30,114,0.35714285714285715,0.25769898,18.54166641.458332,Train
18.541666,41.708332,3.1966276,-0.08869898,4.920424,-0.92367494,0,27,114,0.42857142857142855,1.1620964,18.54166641.708332,Train
18.541666,41.958332,3.252307,0.1345213,8.105628,-0.9389863,0,24,114,0.4642857142857143,1.1793646,18.54166641.958332,Train
17.791666,31.458334,0.4730959,-0.19115539,0.5556433,-0.95648485,0,90,111,0.42857142857142855,-0.7484572,17.79166631.458334,Train
